code	en	et
7125	plate glass installer	klaasija
2262	hospital pharmacist	haiglaproviisor
1330	ICT documentation manager	IKT-dokumentatsiooni haldur
2146	mine development engineer	kaevanduse arendusinsener
2310	biology lecturer	bioloogia õppejõud
2422	cultural policy officer	kultuuripoliitika spetsialist
9510	leaflet distributor	reklaamlehtede jagaja
2654	music producer	muusikaprodutsent
2421	business analyst	ärianalüütik
5249	rental service representative in air transport equipment	õhutranspordivahendite renditeenuse müüja
3433	art handler	artefaktide käitleja
1420	antique shop manager	antiigikaupluse juhataja
2310	education studies lecturer	haridusteaduste õppejõud
1431	cultural facilities manager	kultuuriasutuse juht
2152	flight test engineer	katselennuinsener
7223	stamping press operator	stantsimispressi operaator
3311	financial trader	finantskaupleja
3123	water conservation technician supervisor	veesäästuseadmete paigaldustööde juhataja
2622	librarian	raamatukoguhoidja
2422	healthcare consultant	tervishoiunõunik
8112	stone driller	kivipuurija
5230	ticket issuing clerk	piletimüüja
2131	geneticist	geneetik
2141	maintenance and repair engineer	remondi- ja hooldusinsener
2230	homeopath	homöopaat
7322	digital printer	digitaaltrükkal
7412	theme park technician	lõbustuspargiatraktsioonide mehaanik
7313	jeweller	juveliir
1324	tobacco products distribution manager	tubakatoode turustusjuht
3331	import export specialist	impordi ja ekspordi spetsialist
7543	product quality inspector	toodete kvaliteedi inspektor
2659	street performer	tänavaesineja
4323	taxi controller	taksodispetšer
1223	games development manager	mängude arendusjuht
3252	clinical coder	terviseandmete kodeerija
3331	import export specialist in office furniture	kontorimööbli impordi ja ekspordi spetsialist
5164	zoo section leader	loomaaia osakonnajuhataja
8113	drill operator	puurimismeeskonna juht
2352	special educational needs itinerant teacher	hariduslike erivajadustega õpilaste koduõpetaja
3122	food production planner	toiduainete tootmise planeerija
3112	surveying technician	ehitusuuringute tehnik
1324	clothing and footwear distribution manager	rõivaste ja jalatsite turustusjuht
3112	bridge inspector	sillainspektor
3351	immigration officer	immigratsiooniametnik
3422	swimming teacher	ujumisinstruktor
3118	computer-aided design operator	arvutidisainer
2146	mineral processing engineer	maavarade töötlemise tehnoloog
8160	clarifier	selitaja
7223	lathe and turning machine operator	treimismasina- ja treipingioperaator
4213	pawnbroker	pandimajapidaja
3114	sensor engineering technician	sensorelektroonika ehitustehnik
1324	distribution manager	turustusjuht
2114	hydrogeologist	hüdrogeoloog
4132	data entry clerk	andmesisestaja
1324	import export manager in watches and jewellery	kellade ja ehete impordi ja ekspordi juht
5223	beverages specialised seller	joogikaupluse müüja
1321	manufacturing manager	Tootmisprotsessi juht
2422	government planning inspector	valitsuspoliitika rakendamise inspektor
3331	import export specialist in household goods	kodutarvete impordi ja ekspordi spetsialist
3152	helmsman	tüürimees
1321	footwear production manager	jalatsitööstuse tootmisjuht
7315	glass-blower	klaasipuhuja
1349	rescue centre manager	päästekeskuse juht
8160	blender operator	jookide segamismasina operaator
3513	ICT network technician	IKT võrgutehnik
1213	policy manager	poliitikajuht
3258	emergency ambulance driver	kiirabiautojuht-kiirabitehnik
3324	wholesale merchant in machinery, industrial equipment, ships and aircraft	masinate, tööstusseadmete, laevade ja õhusõidukite hulgikaupleja
1321	textile quality manager	tekstiilitööstuse kvaliteedijuht
2359	prison instructor	vangla kriminaalhooldusametnik
2145	synthetic materials engineer	sünteesmaterjalide tehnoloog
8212	electronic equipment assembler	elektroonikaseadmete koostaja
4323	bus route supervisor	bussiliikluse korraldaja
3116	colour sampling technician	värvinäidiste tehnik
2652	singer	laulja
2412	venture capitalist	riskikapitalist
5164	guide dog instructor	juhtkoera treener
8143	envelope maker	ümbrikuvalmistaja
9212	livestock worker	loomafarmi tööline
1324	import export manager in dairy products and edible oils	piimatoodete ja toiduõlide impordi ja ekspordi juht
2422	employment programme coordinator	tööhõiveprogrammi koordinaator
9212	equine worker	tallitööline
3324	wholesale merchant in furniture, carpets and lighting equipment	mööbli, vaipade ja valgustite hulgikaupleja
1420	floor and wall coverings shop manager	põranda- ja seinakattematerjalide kaupluse juhataja
3413	pastoral worker	pastoraalnõustaja
2310	art studies lecturer	kunstiteaduse õppejõud
3431	photographer	fotograaf
7412	automotive electrician	mootorsõiduki elektrik
3332	wedding planner	pulmakorraldaja
3412	residential home young people care worker	noorte hoolekandetöötaja
2619	ombudsman	õigusvahemees
3111	hydrographic surveying technician	hüdrograafiauuringute tehnik
7223	metal nibbling operator	metalli jadasälkamispingi operaator
3259	chiropractic assistant	kiropraktiku assistent
8112	mineral processing operator	kaevisetöötleja
3123	roofing supervisor	katusetööde juhataja
2431	market research analyst	turuanalüütik
3353	pensions administrator	pensioniametnik
8160	cacao bean roaster	kakaoubade röstija
7313	precious stone setter	vääriskivide paigaldaja
3257	occupational health and safety inspector	töötervishoiu ja tööohutuse inspektor
1324	watches and jewellery distribution manager	kellade ja ehete turustusjuht
8219	jewellery assembler	ehtekoostaja
3423	outdoor animator	vabaõhutegevusjuht
8160	honey extractor	mee ekstraheerija
1219	manufacturing facility manager	tööstusettevõtte haldusjuht
2141	manufacturing engineer	töötleva tööstuse insener
2163	textile product developer	tekstiilitoodete arendaja
8181	clay kiln burner	savipõletusahju operaator
4223	emergency medical dispatcher	erakorralise meditsiiniabi operatiivkorraldaja
2310	higher education lecturer	kõrghariduse õppejõud
7543	consumer goods inspector	tarbekaupade inspektor
3259	dietetic technician	dietoloogi assistent
2131	bioinformatics scientist	bioinformaatik
2320	occupational railway instructor	vedurijuhtimise eriala kutseõpetaja
2131	aquaculture biologist	vesiviljeluse bioloog
2131	food biotechnologist	toidu biotehnoloog
1420	computer software and multimedia shop manager	arvutitarkvara ja multimeediaseadmete kaupluse juhataja
2621	exhibition curator	näituse kuraator
7214	structural ironworker	metallkonstruktsioonide tööline
8341	forestry equipment operator	metsatöötlusseadmete operaator
2166	graphic designer	graafiline disainer
7534	railway car upholsterer	vagunipolsterdaja
9112	aircraft groomer	lennukikoristaja
2133	airport environment officer	lennujaama keskkonnainsener
7514	oil mill operator	õlipressi operaator
5223	motor vehicles specialised seller	mootorsõidukite müüja
2635	clinical social worker	tervishoiusotsiaaltöötaja
5111	ship steward/ship stewardess	laevateenindaja
2421	business consultant	ärikonsultant
2133	soil scientist	mullateadlane
3123	construction painting supervisor	ehituse maalritööde juhataja
2635	homelessness worker	kodutute hoolekande spetsialist
4211	post office counter clerk	postkontori letiteenindaja
2635	probation officer	tingimisi vabastatute hooldusametnik
3341	call centre supervisor	kõnekeskuse töödejuhataja
1439	camping ground manager	kämpingu juht
2359	further education teacher	jätkuhariduse õpetaja
5161	astrologer	astroloog
2320	police trainer	politseikooli õppejõud
7233	fisheries assistant engineer	kalalaeva abimehaanik
2422	immigration policy officer	sisserändepoliitika spetsialist
2654	director of photography	filmioperaator
3324	wholesale merchant in sugar, chocolate and sugar confectionery	suhkru, šokolaadi ja suhkrukondiitritoodete hulgikaupleja
7511	fish trimmer	kalarookija
1120	chief executive officer	peadirektor
3359	forestry inspector	metsandusinspektor
4110	office clerk	kontoriassistent
1222	public relations manager	avalike suhete juht
8141	V-belt finisher	kiilrihmaviimistleja
2632	communication scientist	kommunikatsiooniteadlane
1221	tourism product manager	turismi tootejuht
2512	IoT developer	esemevõrgu arendaja
3151	ship duty engineer	laeva vahimehaanik
1111	mayor	kohaliku omavalitsuse juht
7215	event scaffolder	üritustel ajutiste konstruktsioonide ehitaja
2423	occupational analyst	töösuhete analüütik
7316	glass painter	klaasimaalija
3112	construction safety inspector	ehitusjärelevalve inspektor
2636	religion scientific researcher	usuteadlane
5152	domestic housekeeper	kodumajapidaja
7212	brazier	kõvajoodisjootja
2163	textile colourist	tekstiilide värvitehnoloog
3131	solar power plant operator	päikesejõujaama operaator
8152	knitting machine operator	silmuskudumismasina operaator
1349	correctional services manager	kinnipidamisasutuse juht
8121	metal rolling mill operator	valtspingi operaator
2131	biochemist	biokeemik
3254	optician	optik
8156	footwear stitching machine operator	jalatsiõmblusmasinate operaator
8160	carbonation operator	gaseerimismasinaoperaator
8142	vacuum forming machine operator	vaakumvormimismasina operaator
2359	admissions coordinator	õppeasutuse vastuvõtukoordinaator
3423	outdoor activities coordinator	vabaõhutegevuskoordinaator
5413	juvenile correctional officer	alaealiste korrektsioonikeskuse spetsialist
2434	technical sales representative in electronic and telecommunications equipment	elektroonika- ja sideseadmete tehnikamüügi esindaja
2514	numerical tool and process control programmer	arvjuhtimise vahendite ja protsessijuhtimise programmeerija
3341	office manager	kontorijuhataja
3324	wholesale merchant in textile industry machinery	tekstiilitööstusmasinate hulgikaupleja
4224	night auditor	ööadministraator
4323	aircraft dispatcher	lennuliikluse korraldaja
1324	import export manager in textiles and textile semi-finished and raw materials	tekstiili ja selle pooltoodete ning toorainete impordi ja ekspordi juht
1420	photography shop manager	fotokaupluse juhataja
2511	ICT research consultant	IKT-uuringute valdkonna nõustaja
9312	road sign installer	liiklusmärkide paigaldaja
3133	biogas technician	biogaasijaama operaator
3122	paper mill supervisor	paberivabriku töödejuhataja
7126	sewerage network operative	kanalisatsioonisüsteemi torustiku hooldustööline
8322	taxi driver	taksojuht
7522	recreation model maker	minimudelite valmistaja
8159	nonwoven staple machine operator	staapelkiust lausriidemasina operaator
3324	wholesale merchant in coffee, tea, cocoa and spices	kohvi, tee, kakao ja maitseainete hulgikaupleja
2149	design engineer	projekteerimisinsener
1221	marketing manager	turundusjuht
3521	camera operator	kaameraoperaator
4212	odds compiler	võidukoefitsientide koostaja
5329	sterile services technician	steriliseerija
2149	textile, leather and footwear researcher	tekstiili-, naha- ja jalatsitehnoloogia teadur
5164	cattle pedicure	veiste sõrgade hooldaja
7413	overhead line worker	õhuliinielektrik
8160	blanching operator	blanšeerimisoperaator
2519	data quality specialist	andmekvaliteedi spetsialist
8160	fish canning operator	kalakonservimise operaator
2642	sports journalist	spordiajakirjanik
8172	wood fuel pelletiser	pelletipressi operaator
4221	ground steward/ground stewardess	sõidueelse teeninduse töötaja
3359	agricultural inspector	põllumajandusinspektor
2151	smart home engineer	aruka kodu insener
8132	photographic developer	fotofilmiilmutaja
3435	assistant video and motion picture director	video ja filmi abiinspitsient
8212	battery assembler	akukoostaja
1330	digital transformation manager	digipöörde juht
8143	paper stationery machine operator	paberist kirjatarvete tootmise operaator
5223	building materials specialised seller	ehitusmaterjalikaupluse müüja
3411	store detective	kaupluse turvaülem
3123	dredging supervisor	süvendustööde juhataja
2211	general practitioner	üldarst
5223	shoe and leather accessories specialised seller	jalatsite ja nahkgalanterii müüja
1111	city councillor	linnavolikogu liige
8160	fruit-press operator	mahlapressi operaator
3131	power production plant operator	elektrijaama operaator
5142	hair removal technician	karvaeemalduse spetsialist
2431	client relations manager	kliendisuhete juht
7126	heating technician	küttesüsteemide paigaldaja ja hooldaja
2120	mathematician	matemaatik
2412	personal trust officer	usaldusfondi haldur
8171	froth flotation deinking operator	värvieemaldusflotaatori operaator
2263	emergency response coordinator	kriisireguleerimise koordinaator
2642	picture editor	fototoimetaja
2355	visual arts teacher	visuaalkunsti õpetaja
7318	leather goods artisanal worker	nahktoodete ja -aksessuaaride käsitsivalmistaja
1324	specialised goods distribution manager	eritoodete turustusjuht
3331	import export specialist in sugar, chocolate and sugar confectionery	suhkru, šokolaadi ja suhkrukondiitritoodete impordi ja ekspordi spetsialist
7312	instrument technician	muusikariistade tehnik esinemispaigas
8160	malt kiln operator	linnaseahju operaator
9112	room attendant	toateenija
2519	ICT integration tester	IKT integratsioonitestija
7533	embroiderer	tikkija
8143	paper bag machine operator	paberkotimasina operaator
5223	sales processor	tellimuste haldaja
7223	laser marking machine operator	lasermarkeerimisseadme operaator
2320	medical laboratory technology vocational teacher	laborimeditsiini eriala kutseõpetaja
8182	steam plant operator	aurumasinate operaator
2635	hospital social worker	haigla sotsiaaltöötaja
1223	insurance product manager	kindlustustoodete juht
1120	social entrepreneur	sotsiaalne ettevõtja
7313	precious stone cutter	vääriskivide lõikaja
1324	fruit and vegetables distribution manager	puu- ja köögivilja turustusjuht
1111	senator	senaator
1223	research and development manager	teadus- ja arendustegevuse juht
8219	rubber goods assembler	kummitoodete koostaja
1324	inland water transport general manager	siseveetranspordi üldjuht
7126	sewer construction worker	kanalisatsioonisüsteemi torustiku ehitustööline
3432	interior designer	sisedekoraator
3131	electrical power distributor	elektrijaotusvõrgu operaator
7132	lacquer spray gun operator	pihustusseadmetega värvija-lakkija
3119	textile process controller	tekstiilitootmisprotsesside juht
5152	domestic butler	ülemteener
4323	dangerous goods safety adviser	ohtlike veoste ohutusnõunik
7543	product assembly inspector	toote koostamise inspektor
2230	aromatherapist	aroomiterapeut
1346	bank manager	pangajuht
2621	conservator	konservaator
3112	rail maintenance technician	raudteehooldustehnik
2146	petroleum engineer	naftainsener
2643	graphologist	grafoloog
2635	crisis situation social worker	kriisisekkumise sotsiaaltöötaja
7411	solar energy technician	päikeseenergiaseadmete tehnik
7421	railway electronic technician	raudtee-elektroonika tehnik
7126	pipeline maintenance worker	torujuhtme hooldustööline
1420	furniture shop manager	mööblikaupluse juhataja
7532	clothing CAD patternmaker	rõivaste modelleerija-visualiseerija
2269	radiographer	radioloogiatehnik
5142	weight loss consultant	kaalunõustaja
3521	audio-visual technician	audiovisuaalala tehnik
2151	battery system engineer	akusüsteemide insener
8121	wire weaving machine operator	metallkudumite valmistaja
2619	court jury coordinator	vandekohtu koordinaator
8211	motorcycle assembler	mootorrattakoostaja
0110	artillery officer	suurtükiväeohvitser
2519	ICT auditor manager	IKT-audiitorite juht
2342	Montessori school teacher	Montessori kooli õpetaja
2149	commissioning engineer	kasutuselevõtu insener
2261	dental technician	hambatehnik
2659	variety artist	varieteenäitleja
2529	ethical hacker	eetiline häkker
7313	jewellery mounter	juveeliraamija
2267	orthoptist	ortoptist
1431	recreational facilities manager	puhkerajatise juht
3411	private detective	eradetektiiv
5112	passenger fare controller	piletikontrolör
8142	fibreglass machine operator	pihustuslamineerimismasina operaator
5223	cosmetics and perfume specialised seller	parfümeeria- ja kosmeetikatoodete müüja
9215	forest worker	metsatööline
3432	interior planner	sisekujundaja
3111	nuclear technician	tuumatehnik
2529	cybersecurity risk manager	küberriskide juht
3422	snowboard instructor	lumelauainstruktor
2149	photonics engineer	fotoonika insener
2619	regulatory affairs manager	regulatiivvaldkonna juht
7523	wooden furniture machine operator	puitmööblimasina operaator
7223	thread rolling machine operator	keermerullimispingi operaator
2151	electromechanical engineer	elektromehaanikainsener
2163	fashion designer	moekunstnik
7322	reprographics technician	reprograafiatehnik
2422	international relations officer	rahvusvaheliste suhete ametnik
2512	cloud software developer	pilvtehnoloogia tarkvara arendaja
2166	desktop publisher	veebikujundaja
8131	capsule filling machine operator	kapslitäitmismasina operaator
3119	robotics engineering technician	robootikatehnik
4227	market research interviewer	turu-uuringu küsitleja
1324	finished leather warehouse manager	töödeldud naha laojuht
8211	motor vehicle parts assembler	mootorsõidukiosade koostaja
1324	pipeline superintendent	torutranspordi juht
2263	health and safety officer	töökaitsespetsialist
3324	wholesale merchant in waste and scrap	jäätmete ja jääkide hulgikaupleja
2269	dance therapist	tantsuterapeut
2411	public finance accountant	avaliku sektori pearaamatupidaja
8160	extract mixer tester	vürtsisegamismasina operaator
5311	school bus attendant	koolibussisaatja
2310	performing arts school dance instructor	lavakunstikooli tantsuõpetaja
3412	residential home adult care worker	erivajadustega täiskasvanute tugiisik
2511	blockchain architect	plokiahela arhitekt
9312	road marker	teekattemärgistuse paigaldaja
3521	sound designer	helirežissöör
1420	fruit and vegetables shop manager	puu- ja köögiviljakaupluse juhataja
5312	secondary school teaching assistant	gümnaasiumi abiõpetaja
7127	heating and ventilation service installer	kütte- ja ventilatsioonisüsteemide paigaldaja
4221	travel agent	reisiagent
2144	tooling engineer	tööriistainsener
1221	licensing manager	litsentsivaldkonna juht
8113	tunnel boring machine operator	läbinduskilbi operaator
3435	prop maker	rekvisiitide valmistaja
1213	director of compliance and information security in gambling	hasartmängude õigusnormidele vastavuse ja infoturbe juht
2143	recycling specialist	ringlussevõtu spetsialist
2412	financial risk manager	finantsriskide juht
7212	welder	keevitaja
2133	groundwater monitoring technician	pinnaveeseire tehnik
3134	refinery shift manager	rafineerimistehase vahetuse vanem
1330	chief technology officer	tehnoloogiajuht
2152	microelectronics designer	mikroelektroonika projekteerija
2422	sports programme coordinator	spordikorraldaja
2262	pharmacy technician	farmatseut
2619	legislative drafter	õigusloome ametnik
3259	respiratory therapy technician	hingamisravi tehnik
2146	mine planning engineer	kaevanduse planeerimise insener
2145	gas distribution engineer	gaasijaotusinsener
3321	insurance risk consultant	kindlustusriski konsultant
2651	video artist	videokunstnik
3119	leather goods quality technician	nahktoodete kvaliteeditehnik
2262	pharmacist	proviisor
3123	road construction supervisor	teedeehituse töödejuhataja
2144	rolling stock engineer	veeremiinsener
5411	pump operator	pumbaoperaator
5113	zoo educator	loomaaia giid
8131	mine control room operator	kaevanduse juhtimiskeskuse operaator
7533	glove maker	kindavalmistaja
9122	vehicle cleaner	autopesija
8160	distillery miller	piiritusetehase mölder
3131	electrical transmission system operator	elektrienergia jaotussüsteemi operaator
5164	animal shelter worker	loomade varjupaiga töötaja
2269	diagnostic radiographer	diagnostika valdkonna radioloogiatehnik
3435	head of workshop	rekvisiidiala juhataja
8153	sewing machine operator	õmblusmasina operaator
7232	aircraft gas turbine engine overhaul technician	õhusõiduki gaasiturbiinmootori remondimehaanik
1349	interpretation agency manager	suulise tõlke büroo juht
3257	food safety inspector	toiduohutuse inspektor
7223	metalworking lathe operator	metallitöötlustreipingi operaator
8155	leather finishing operator	nahaviimistluse operaator
1324	import export manager in computers, computer peripheral equipment and software	arvutite, arvutite välisseadmete ja tarkvara impordi ja ekspordi juht
2634	polygraph examiner	polügrafist
2131	animal behaviourist	loomakäitumise spetsialist
3122	metal production supervisor	metalltoodete tootmise töödejuhataja
8160	beverage filtration technician	jookide filtreerimise tehnik
2652	composer	helilooja
2310	psychology lecturer	psühholoogiaõppejõud
1420	department store manager	ostukeskuse juht
7523	wood boring machine operator	puidupuurimismasina operaator
5414	door supervisor	sissepääsu turvatöötaja
7511	meat preparations operator	liha pooltoodete töötlemise operaator
3334	real estate investor	kinnisvarainvestor
8219	wood products assembler	puittoodete koostaja
4412	postman/postwoman	kirjakandja
3113	hydropower technician	hüdroelektrijaama tehnik
1420	music and video shop manager	muusika- ja videokaupluse juhataja
3435	broadcasting programme director	ringhäälingu programmidirektor
2152	microsystem engineer	mikrosüsteemide insener
2111	physicist	füüsik
9629	usher	kohanäitaja
7323	book-sewing machine operator	raamatuõmblusmasina operaator
2152	power electronics engineer	jõuelektroonika insener
5419	aircraft marshaller	lennujaama perroonikorraldaja
3132	water plant technician	veepuhastusjaama tehnik
7322	gravure press operator	sügavtrükkpressi operaator
3324	wholesale merchant in office machinery and equipment	kontorimasinate ja -seadmete hulgikaupleja
1324	hides, skins and leather products distribution manager	toornaha, naha ja nahktoodete turustusjuht
2266	speech and language therapist	logopeed
3324	wholesale merchant in watches and jewellery	kellade ja ehete hulgikaupleja
2651	printmaker	graveerija
6221	aquaculture rearing technician	vesiviljeluse noorisendikasvanduse tehnik
8160	dryer attendant	kuivatioperaator
6122	poultry sexer	lindude soomääraja
3153	co-pilot	teine piloot
2146	assayer	väärismetallide analüüsija
9333	materials handler	laotöötaja-kaubakäitleja
3331	import export specialist in live animals	elusloomade impordi ja ekspordi spetsialist
2230	traditional chinese medicine therapist	Hiina loodusterapeut
3115	rolling stock engine tester	veeremi mootoritestija
2330	business studies and economics teacher secondary school	üldhariduskooli vanema astme ettevõtlus- ja majandusõpetaja
2133	nature conservation officer	looduskaitseametnik
1324	leather raw materials purchasing manager	nahktooraine ostujuht
2330	art teacher secondary school	üldhariduskooli vanema astme kunstiõpetaja
5223	jewellery and watches specialised seller	juveeli- ja kellakaupluse müüja
1330	ICT information and knowledge manager	IKT-teabe- ja -teadmushaldur
2144	fluid power engineer	hüdraulika- ja pneumaatikainsener
3422	ski instructor	suusainstruktor
2529	knowledge engineer	teadmustehnoloogia insener
1420	kitchen and bathroom shop manager	köögi- ja vannitoasisustuse kaupluse juhataja
2522	ICT network administrator	IKT võrguadministraator
7513	milk reception operator	piima vastuvõtja
3153	aircraft maintenance engineer	õhusõiduki hooldusinsener
1219	chemical plant manager	keemiatööstusettevõtte juht
8311	train driver	rongijuht
2320	vocational teacher	kutseõpetaja
8131	fertiliser mixer	väetisesegaja
4224	hospitality establishment receptionist	majutusasutuse administraator
2422	monitoring and evaluation officer	järelevalve- ja hindamisametnik
3119	airport maintenance technician	lennuvälja hooldustehnik
3115	refrigeration air condition and heat pump technician	jahutus- ja kliimaseadmete ning soojuspumpade tehnik
1324	logistics and distribution manager	logistika- ja turustusjuht
3123	terrazzo setter supervisor	terratsopõranda ehitustööde juhataja
1431	sport facility manager	spordirajatise juht
2152	microelectronics smart manufacturing engineer	mikroelektroonika aruka tootmise insener
5223	toys and games specialised seller	mänguasjakaupluse müüja
2320	auxiliary nursing and midwifery vocational teacher	õenduse ja ämmaemanduse eriala hooldusõdede kutseõpetaja
3213	clinical trial assistant	kliiniliste uuringute assistent
2269	occupational therapy assistant	abiergoterapeut
7543	non-destructive testing specialist	mittepurustavate katsete spetsialist
5141	hair stylist	juuksur-stilist
2114	palaeontologist	paleontoloog
7312	guitar maker	kitarrimeister
1330	chief information officer	IT-juht
2432	election agent	valimisametnik
3122	electronics production supervisor	elektroonikatootmise töödejuhataja
5165	car driving instructor	autojuhtide õpetaja
1349	translation agency manager	tõlkebüroo juht
7224	tool grinder	tööriistateritaja
2149	contract engineer	lepinguinsener
8350	engine minder	siseveelaeva motorist
8211	rolling stock assembler	veeremikoostaja
3331	import export specialist in computers, peripheral equipment and software	arvutite, arvuti välisseadmete ja tarkvara impordi ja ekspordi spetsialist
2635	family planning counsellor	pereplaneerimise nõustaja
8160	fish production operator	kalatootmise operaator
2656	news anchor	uudisteankur
3115	rolling stock engine inspector	veeremi mootoriinspektor
5414	gate guard	pääsla turvatöötaja
2250	aquatic animal health professional	veeloomade tervise spetsialist
2411	cost analyst	kuluanalüütik
3332	event assistant	üritusekorraldaja assistent
3118	clothing CAD technician	rõivaste CAD-süsteemis modelleerimistehnik
3111	soil surveying technician	pinnaseuuringute tehnik
5164	pet sitter	loomahoidja
8142	plastic furniture machine operator	plastmööbli valmistaja
8160	prepared meat operator	valmisliha operaator
1324	import export manager in mining, construction and civil engineering machinery	kaevandus- ja ehitusmasinate impordi ja ekspordi juht
3435	stunt performer	kaskadöör
4312	tax clerk	maksuassistent
2433	sales engineer	müügiinsener
2320	armed forces training and education officer	sõjakooli instruktor
2635	community care case worker	kohaliku omavalitsuse sotsiaalhoolekandetöötaja
5163	funeral services director	matusekorraldaja
2141	textile technologist	tekstiilitehnoloog
7543	textile quality inspector	tekstiili kvaliteediinspektor
2113	sensory scientist	maitse- ja lõhnaaistingute uurija
8122	deburring machine operator	kraatide eemaldamise masina operaator
8172	sawmill operator	saekaatri operaator
2512	user interface developer	kasutajaliideste arendaja
3139	automated assembly line operator	automaatkoosteliini operaator
2114	mineralogist	mineraloog
8113	roustabout	puurplatvormi lihttööline
0210	warfare specialist	sõjandusspetsialist
2151	electrical engineer	elektriinsener
8114	concrete products machine operator	betoontootemasinate operaator
3423	mountain guide	mägigiid
5223	domestic appliances specialised seller	kodumasinate müüja
1324	chemical products distribution manager	keemiatoodete turustusjuht
3432	set designer	lavakujundaja
3123	carpenter supervisor	puuseppade töödejuhataja
3111	chemistry technician	keemialaborant
9321	clothing finisher	rõivaste viimistleja-pakkija
8160	dairy products manufacturing worker	piimasaaduste tootmistööline
5321	nurse assistant	põetaja
1431	betting manager	kihlveokontori juhataja
3435	light board operator	valgusoperaator
1420	ammunition shop manager	laskemoonakaupluse juhataja
2619	human rights officer	inimõiguste ametnik
8322	parking valet	autoparkija
8154	textile dyer	värval
7233	marine mechanic	laevamehaanik
3123	electrical supervisor	elektritööde juhataja
8171	wash deinking operator	värvieemalduspesuri operaator
5411	firefighter	tuletõrjuja
3432	miniature set designer	miniatuursete filimirekvisiitide disainer-valmistaja
2310	music instructor	muusikaõppeasutuse muusikaõpetaja
8211	vessel engine assembler	laevamootorite koostaja
8142	filament winding operator	kiukerimismasina operaator
3423	leisure attendant	vabaajategevuste korraldaja
8181	clay products dry kiln operator	savitoodete kuivatusahju operaator
4323	water traffic coordinator	veeliikluse korraldaja
1324	import export manager in electronic and telecommunications equipment and parts	elektroonika- ja telekommunikatsiooniseadmete ning nende osade impordi ja ekspordi juht
7533	doll maker	nukumeister
3331	import export specialist in watches and jewellery	kellade ja ehete impordi ja ekspordi spetsialist
2411	grants management officer	grandihaldur
2145	gas production engineer	gaasitootmisinsener
7223	fitter and turner	metallosade valmistaja ja treial
3435	location manager	võttepaikade koordinaator
2330	geography teacher secondary school	üldhariduskooli vanema astme geograafiaõpetaja
7126	septic tank servicer	septikute hooldusmehaanik
2434	ICT account manager	IKT-konto haldur
2133	ecologist	ökoloog
7313	goldsmith	kullassepp
1223	chief product officer	vanemtootejuht
3119	footwear quality technician	jalatsitööstuse kvaliteeditehnik
3311	securities underwriter	emissioonikorraldaja
3153	private pilot	eralennuki piloot
2654	stage director	lavameister
2265	dietitian	dietoloog
3111	chromatographer	kromatograafia laborant
2141	food and beverage packaging technologist	toidu ja jookide pakenditehnoloog
3112	landfill supervisor	prügila töödejuhataja
7214	shipwright	laevasepp
2310	space science lecturer	kosmoseteaduse õppejõud
1219	defence administration officer	riigikaitseasutuse haldusametnik
8131	paint mixer	värvisegaja
7316	metal engraver	metalligraveerija
6112	vineyard manager	viinamarjaistanduse juhataja
3115	motor vehicle engine inspector	mootorsõiduki mootoriinspektor
1330	ICT project manager	IKT-projektijuht
3119	pipeline compliance coordinator	torujuhtme ühendamise koordinaator
7412	power tool repair technician	elektritööriistade mehaanik
7318	carpet handicraft worker	käsitöövaipade valmistaja
8142	blow moulding machine operator	puhumisvormimismasina operaator
8142	plastic rolling machine operator	rullplastimasina operaator
1420	orthopaedic supply shop manager	ortopeediatoodete kaupluse juhataja
2144	industrial tool design engineer	tööstuslike tööseadiste projekteerimise insener
3331	shipping agent	laevaagent
2642	copy editor	keeletoimetaja
2342	Freinet school teacher	Freinet' kooli õpetaja
2422	political affairs officer	poliitikanõunik
3324	wholesale merchant in agricultural raw materials, seeds and animal feeds	põllumajandustoorme, seemnete ja loomasööda hulgikaupleja
1324	import export manager in office machinery and equipment	kontorimasinate ja -seadmete impordi ja ekspordi juht
2152	microelectronics engineer	mikroelektroonika insener
2161	architect	arhitekt
2521	database administrator	andmebaasi administraator
7119	tent installer	tsirkuse- ja üritusetelkide paigaldaja
3344	medical practice manager	arstipraksise juht
1349	aviation surveillance and code coordination manager	lennunduse seire ja koodikasutuse koordineerimise juht
2641	technical communicator	tehnilise teabe levitaja
2659	tourist animator	turistide vabaajajuht
3343	management assistant	juhtkonna assistent
7412	ground lighting officer	lennuvälja valgustussüsteemide eest vastutav töötaja
8141	belt builder	ülekanderihmade valmistaja
2330	biology teacher secondary school	üldhariduskooli vanema astme bioloogiaõpetaja
7223	upsetting machine operator	kohtjämendamismasina operaator
2221	nurse responsible for general care	õde
8114	precast moulder	betoondetailide käsitsi valaja
2144	automotive engineer	autoinsener
2421	Smart City consultant	aruka linna konsultant
8322	armoured car driver	soomusauto juht
2413	financial analyst	finantsanalüütik
3412	social care worker	sotsiaalhoolekande töötaja
8113	roughneck	puurplatvormi oskustööline
2521	database designer	andmebaaside projekteerija
2262	specialist pharmacist	eriproviisor
5249	rental service representative in construction and civil engineering machinery	ehitusmasinate renditeenuse müüja
2141	packaging production manager	pakendamise tootmisjuht
3312	loan officer	laenuhaldur
6113	horticulture production team leader	aiasaaduste tootmise rühmajuht
3311	stock broker	aktsiamaakler
3334	real estate agent	kinnisvaraagent
